recording_id,cutter_id,follower_id,from_lane,to_lane,relation_start_frame,relation_end_frame,relation_start_time,relation_rows,dhw_min,thw_min,ttc_min,dhw_min_raw_window,thw_min_raw_window,ttc_min_raw_window
09,115,121,2,3,1944,1962,77.76,19,28.809999999999988,0.7888828039430446,5.06326889279437,15.879999999999995,0.43257967856169965,2.908424908424907
13,465,466,3,4,3597,3646,143.88,50,30.74000000000001,0.9470117067159584,5.075581395348833,26.870000000000005,0.8617703656189867,5.073198198198195
13,2770,2772,7,6,25151,25200,1006.04,50,9.909999999999997,0.29921497584541057,5.127340823970034,9.080000000000041,0.27917690417690516,5.127340823970034
09,1356,1359,8,7,25680,25716,1027.2,37,53.48000000000002,1.2527524010306867,5.1373679154659015,37.379999999999995,0.866079703429101,3.5599999999999996
20,410,413,6,5,8311,8360,332.44,50,18.889999999999986,0.5298737727910234,5.193089430894309,17.399999999999977,0.5062554553389578,4.89456342668864
06,412,419,7,6,8532,8581,341.28,50,44.37000000000006,1.0691566265060255,5.195550351288064,36.170000000000016,0.8984103328365628,4.874663072776286
14,2335,2342,8,7,23345,23358,933.8,14,12.369999999999948,0.440841054882393,5.286324786324764,11.220000000000027,0.39801347995743264,4.836206896551736
10,279,282,3,4,4455,4504,178.2,50,94.25999999999999,1.8133897652943438,5.30146231721035,76.75999999999999,1.5257404094613394,4.845959595959594
13,649,654,3,4,5505,5554,220.2,50,18.909999999999997,0.5935342121782798,5.346473029045645,17.14,0.550417469492614,5.26679104477612
19,305,307,6,5,7005,7054,280.2,50,24.430000000000007,0.7556449118465823,5.391719745222933,22.17999999999998,0.705246422893481,5.391719745222933
12,684,691,8,7,5183,5203,207.32,21,27.139999999999986,0.8194444444444441,5.449799196787149,17.77000000000001,0.536695862277258,5.163551401869157
19,147,153,6,5,3524,3573,140.96,50,55.28000000000003,1.2104225968907385,5.528000000000003,45.14999999999998,0.9933993399339929,4.649845520082387
14,2508,2515,2,3,24653,24702,986.12,50,18.35000000000001,0.7084942084942089,5.56531531531532,15.559999999999988,0.6042718446601937,5.56531531531532
01,308,310,6,5,6313,6362,252.52,50,15.719999999999999,0.5598290598290598,5.570247933884289,14.400000000000006,0.5301914580265098,5.570247933884289
08,995,999,8,7,17030,17061,681.2,32,28.649999999999977,0.7218442932728641,5.5847953216374275,19.49000000000001,0.4798129000492371,3.5500910746812435
13,2851,2854,8,7,25980,26029,1039.2,50,28.420000000000016,0.8723143032535303,5.672654690618768,22.99000000000001,0.6996348143639687,4.142342342342343
13,625,630,3,4,5141,5190,205.64,50,17.790000000000006,0.47063492063492085,5.683453237410074,15.420000000000002,0.4224657534246576,5.412790697674416
11,555,558,4,3,4778,4827,191.12,50,11.409999999999997,0.5363679023932426,5.705645161290324,11.32,0.5356300141576216,4.877659574468089
04,620,626,7,6,15270,15319,610.8,50,29.25999999999999,0.8310139165009938,5.718796992481201,26.579999999999984,0.7815348426933251,5.718796992481201
04,764,772,2,3,18214,18263,728.56,50,70.12,1.9526594263436372,5.838467943380517,57.710000000000036,1.6115610164758456,4.861836562763272
06,507,513,2,3,10942,10991,437.68,50,58.48999999999998,1.743368107302533,5.843156843156843,48.19999999999999,1.447012909036325,4.923391215526045
08,932,934,2,3,16014,16063,640.56,50,27.550000000000004,0.8027389277389279,5.886752136752138,22.680000000000003,0.6541678684741853,4.2711864406779645
09,767,770,7,6,15009,15058,600.36,50,37.309999999999974,1.0235939643347043,5.987654320987654,31.430000000000007,0.8708783596564146,5.987654320987654
04,548,551,3,4,13226,13275,529.04,50,63.75,1.5870052277819267,6.123919308357348,56.900000000000006,1.43000753958281,5.753286147623863
05,733,739,2,3,17168,17217,686.72,50,39.81,1.3417593528816987,6.134052388289675,33.28999999999999,1.1408498971898557,5.585570469798656
08,395,397,7,6,6602,6651,264.08,50,15.930000000000007,0.3938195302843017,6.178571428571427,14.909999999999997,0.37499999999999994,6.015957446808511
12,136,142,7,6,883,932,35.32,50,16.399999999999977,0.4983287754481914,6.224489795918352,16.139999999999986,0.4980176883196092,6.101827676240205
12,726,731,3,4,5843,5892,233.72,50,10.609999999999985,0.5549222797927466,6.247191011235966,10.609999999999985,0.5549222797927466,4.323076923076926
08,608,612,8,7,10785,10834,431.4,50,71.64000000000001,1.6211812627291247,6.262237762237765,59.76000000000002,1.348679756262695,5.237510955302366
06,1316,1318,7,6,28993,29033,1159.72,41,13.029999999999973,0.3614424410540908,6.293650793650791,13.029999999999973,0.3614424410540908,6.009966777408634
07,838,840,3,4,14319,14368,572.76,50,11.70999999999998,0.41829608938547547,6.391304347826095,11.70999999999998,0.41829608938547547,5.306451612903226
12,1685,1690,7,6,14045,14094,561.8,50,17.970000000000013,0.7857455181460434,6.417857142857146,15.350000000000023,0.7136215713621581,6.416666666666679
13,2020,2025,7,6,18223,18272,728.92,50,40.61,0.9900048756704046,6.5080128205128185,34.329999999999984,0.8476543209876539,5.75041876046901
20,919,922,2,3,19105,19154,764.2,50,29.409999999999997,0.8810665068903534,6.56218057921636,26.349999999999994,0.8122688039457459,6.446646341463415
10,399,405,7,6,6406,6455,256.24,50,103.34,2.212847965738758,6.6074168797953945,87.82000000000002,1.9116238572050506,6.184507042253523
19,718,720,6,5,17270,17319,690.8,50,41.27000000000001,1.0897808291523636,6.624398073836281,35.01999999999998,0.9269454737956586,5.836666666666663
15,290,294,6,5,5291,5340,211.64,50,51.31999999999999,1.5187925421722401,6.67420349434738,45.370000000000005,1.4042092231507273,6.67420349434738
15,378,379,6,5,7303,7352,292.12,50,15.0,0.42654566080544587,6.7007575757575735,14.900000000000006,0.42654566080544587,5.889830508474572
18,589,593,2,3,14349,14393,573.96,45,86.17,1.900529333921482,6.75843137254902,86.17,1.900529333921482,6.75843137254902
05,281,286,2,3,6482,6531,259.28,50,41.440000000000055,1.3943472409152105,6.765013054830286,35.900000000000006,1.2452306625043361,6.765013054830286
15,479,482,2,3,9567,9599,382.68,33,12.75,0.4473684210526316,6.76818181818182,12.75,0.4473684210526316,5.96815286624204
03,753,760,2,3,20873,20922,834.92,50,53.03,1.4445655134840643,6.79689018464529,46.339999999999996,1.2886540600667407,6.79689018464529
03,792,796,6,5,22021,22070,880.84,50,74.82999999999998,1.9563398692810454,6.8525641025641,64.18,1.7087326943556975,6.562372188139059
14,1166,1170,3,4,10815,10864,432.6,50,20.53000000000003,0.7850860420650108,6.854111405835546,19.149999999999977,0.7693541917368635,6.854111405835546
03,430,432,2,3,11240,11289,449.6,50,15.600000000000009,0.5420430854760253,6.884328358208962,14.909999999999997,0.5268551236749115,4.543516873889871
09,172,178,3,4,2791,2840,111.64,50,43.839999999999975,1.025257249766136,6.893081761006286,37.24000000000001,0.8887828162291171,5.873817034700321
12,699,706,8,7,5408,5457,216.32,50,27.029999999999973,0.8674582798459555,6.896887159533076,23.549999999999983,0.7504780114722748,6.827648114901259
12,1061,1058,3,4,8524,8573,340.96,50,8.999999999999972,0.5624999999999982,6.926174496644282,8.999999999999972,0.5624999999999982,6.5748502994011915
14,348,351,8,7,2952,2978,118.08,27,38.41,1.0587100330760748,6.945750452079564,27.28,0.7388949079089924,4.836879432624113
19,177,179,6,5,4121,4170,164.84,50,22.639999999999986,0.6907155529272607,6.980821917808212,22.569999999999993,0.6907155529272607,4.9527326440177255
19,779,784,6,5,19057,19106,762.28,50,43.93999999999997,1.1995631995631986,7.006443298969074,39.380000000000024,1.124179274907223,7.006443298969074
15,905,911,6,5,17860,17909,714.4,50,45.5,1.3070956621660441,7.069738480697385,40.72,1.2058039680189516,7.069738480697385
09,736,741,2,3,14211,14260,568.44,50,54.23000000000002,1.2673521850899747,7.070404172099088,46.31999999999999,1.0842696629213482,6.225806451612904
06,1123,1124,7,6,24153,24202,966.12,50,12.439999999999984,0.32078390923156297,7.096938775510228,11.990000000000009,0.3069636456733233,4.905027932960896
11,144,153,7,6,1152,1201,46.08,50,25.52000000000001,0.8283024991885755,7.108407079646024,23.75,0.7804797896812357,6.859582542694499
13,1179,1190,2,3,10716,10765,428.64,50,91.11000000000001,2.535058430717864,7.140282131661444,77.99000000000001,2.181538461538462,6.184773988897701
13,317,322,3,2,2388,2437,95.52,50,34.83000000000001,1.152547981469226,7.1666666666666705,30.109999999999985,1.01929587000677,6.781531531531532
11,879,887,8,7,7501,7550,300.04,50,18.25,0.6905032160423761,7.3,15.610000000000014,0.5967125382263002,6.219123505976097
13,2106,2119,7,6,19081,19130,763.24,50,54.670000000000016,1.4330275229357803,7.323529411764709,48.170000000000016,1.3004859611231105,7.323529411764709
15,418,421,6,5,8466,8515,338.64,50,31.249999999999986,1.1630070710829916,7.385681293302544,27.460000000000008,1.0853754940711464,7.385681293302544
03,608,609,2,3,16600,16649,664.0,50,55.10999999999996,1.2417755745831445,7.457374830852497,47.389999999999986,1.0889246323529407,6.600278551532032
09,586,590,7,6,11139,11188,445.56,50,75.26000000000002,1.4771344455348383,7.4811133200795235,64.82,1.2652742533671677,6.373647984267456
12,1301,1328,4,3,10786,10835,431.44,50,34.53000000000003,2.0843373493975883,7.512241054613943,34.53000000000003,2.0843373493975883,6.770029673590512
10,693,698,3,4,11761,11810,470.44,50,75.94999999999999,1.5942485306465153,7.549701789264411,66.13,1.4197080291970803,7.549701789264411
02,328,330,2,3,7522,7571,300.88,50,17.650000000000034,0.47922888949226267,7.550335570469807,15.870000000000005,0.4392471630224191,7.526490066225163
01,11,12,6,5,164,213,6.56,50,67.62,1.9414298018949183,7.574774774774777,60.639999999999986,1.771028037383177,7.574774774774777
10,356,358,3,4,5686,5735,227.44,50,14.159999999999968,0.4280532043530825,7.575892857142863,12.96999999999997,0.4017967781908293,7.575892857142863
11,87,91,3,4,641,690,25.64,50,12.600000000000023,0.4639175257731967,7.590361445783145,10.909999999999997,0.4101503759398495,6.3063583815028865
16,238,241,6,5,5962,6011,238.48,50,29.19999999999999,0.6781235485369249,7.604166666666657,25.33000000000004,0.591407891664722,6.901907356948237
06,833,837,7,6,17483,17532,699.32,50,40.68000000000001,1.1514293801302011,7.615499254843515,36.71999999999997,1.0579083837510794,7.38441558441558
19,707,711,2,3,17037,17086,681.48,50,47.10000000000001,1.2795436022819888,7.696078431372549,40.57,1.1087728887674226,6.6947194719471925
12,1125,1135,8,7,9052,9101,362.08,50,43.94999999999999,1.3670295489891133,7.853252647503778,39.22000000000003,1.2651612903225815,7.853252647503778
14,495,502,7,6,4571,4606,182.84,36,16.849999999999966,0.5702199661590512,7.854771784232367,16.849999999999966,0.5702199661590512,6.579881656804721
11,1649,1659,7,6,14330,14379,573.2,50,50.53000000000003,1.4387813211845113,7.855944055944056,44.50999999999999,1.2775545350172213,7.855944055944056
09,508,513,3,4,9782,9831,391.28,50,46.099999999999966,1.2153967835486414,7.858407079646012,40.99000000000001,1.1054476806903994,7.858407079646012
15,618,620,2,3,12153,12202,486.12,50,36.129999999999995,0.9408854166666666,7.858407079646018,32.39,0.863503065849107,7.858407079646018
20,547,551,2,3,11188,11237,447.52,50,53.55000000000001,1.5481352992194277,7.863436123348016,46.84,1.3768371546149323,7.841860465116282
01,314,322,2,3,6541,6590,261.64,50,51.66,1.5420895522388058,7.874626865671641,45.260000000000005,1.3964825671089174,7.874626865671641
10,594,595,7,6,9690,9739,387.6,50,49.5,1.1327231121281465,7.946808510638299,43.54000000000002,1.0118521961422269,7.946808510638299
06,61,63,3,4,1205,1254,48.2,50,36.369999999999976,0.9230964467005071,7.96660482374769,32.74000000000001,0.8470892626131956,7.96660482374769
08,365,371,3,4,6396,6426,255.84,31,55.989999999999995,1.3626186420053539,7.975783475783471,55.989999999999995,1.3626186420053539,7.975783475783471
07,52,57,8,7,581,630,23.24,50,64.34,1.6024906600249067,7.992546583850935,55.87999999999998,1.3893585280954746,6.9416149068322985
08,1584,1586,7,6,26830,26879,1073.2,50,56.69,1.2645549855007807,7.997742663656887,51.50999999999999,1.1577882670262978,7.779397473275026
14,341,344,3,4,2859,2908,114.36,50,28.269999999999982,0.7945474985947156,8.004514672686213,25.78000000000003,0.7544629792215402,7.975609756097558
01,547,552,2,3,11061,11110,442.44,50,19.109999999999985,0.6667829727843679,8.049469964664317,18.480000000000018,0.654673721340388,7.032745591939553
05,653,656,3,4,15323,15359,612.92,37,73.12,1.9671778315846113,8.07064017660044,60.29000000000002,1.6812604573340775,7.978696741854635
05,103,108,7,6,2151,2200,86.04,50,30.78,0.890625,8.076754385964907,29.669999999999987,0.869832893579595,7.261011419249593
06,145,151,8,7,2940,2979,117.6,40,74.69,1.9774953666931425,8.100867678958783,61.92999999999999,1.6331751054852317,7.069634703196345
15,808,811,2,3,15924,15973,636.96,50,24.289999999999964,0.8842373498361836,8.102702702702693,22.099999999999966,0.8277153558052421,8.051679586563298
16,765,767,3,2,18308,18357,732.32,50,42.140000000000015,1.0855229263266362,8.135135135135139,36.95000000000002,0.9642484342379962,7.510162601626017
19,439,442,6,5,10310,10359,412.4,50,42.150000000000034,1.00333253987146,8.199372056514907,38.93000000000001,0.9385245901639346,8.159332321699546
08,129,131,7,6,1750,1799,70.0,50,31.370000000000005,0.8053915275994866,8.238993710691815,28.139999999999986,0.7337679269882655,8.188492063492067
15,145,147,6,5,2715,2764,108.6,50,6.469999999999999,0.25688434303697877,8.2658227848101,6.469999999999999,0.2548039969254418,1.9857142857142835
11,666,676,7,6,5720,5769,228.8,50,39.880000000000024,1.2001203731567869,8.274086378737547,35.94999999999999,1.0805530507965129,8.196620583717358
07,831,835,3,4,14317,14366,572.68,50,11.430000000000007,0.3943758573388203,8.290540540540526,11.430000000000007,0.3943758573388203,5.043478260869571
10,550,553,8,7,9096,9145,363.84,50,57.12999999999997,1.7742236024844709,8.303779069767433,50.23999999999995,1.5858585858585843,8.025559105431304
05,1179,1182,7,6,27689,27738,1107.56,50,68.50000000000003,1.545228964583804,8.313106796116513,60.170000000000016,1.372490875912409,7.724005134788186
13,455,456,3,4,3446,3495,137.84,50,33.16,1.2036183043632507,8.317124735729381,32.83000000000001,1.2036183043632507,8.015122873345943
10,676,686,3,4,11709,11740,468.36,32,27.1,0.7642413987591653,8.338461538461539,27.1,0.7642413987591653,8.338461538461539
02,536,541,2,3,12042,12091,481.68,50,27.600000000000023,0.7728927471296562,8.342500000000001,25.97999999999999,0.7418617932609933,6.979199999999995
16,486,488,6,5,11710,11759,468.4,50,31.50999999999999,0.7751537515375152,8.356371490280772,29.379999999999967,0.72885140163731,7.903281519861832
10,716,719,8,7,12013,12062,480.52,50,36.30999999999999,0.985881075210426,8.424593967517408,31.600000000000023,0.8460508701472562,6.723404255319149
15,133,141,2,3,2616,2665,104.64,50,105.64999999999998,2.831680514607343,8.42503987240829,93.15,2.566115702479339,7.982005141388177
10,674,690,2,3,11682,11731,467.28,50,81.86,2.368634259259259,8.482901554404144,72.16,2.1254786450662735,7.982300884955749
14,1744,1750,7,6,16885,16934,675.4,50,25.659999999999968,0.748978400467016,8.499999999999996,22.860000000000014,0.6711685261303586,8.362186788154899
20,356,357,2,3,7272,7321,290.88,50,9.39,0.39537815126050435,8.516129032258076,9.39,0.39537815126050435,8.124087591240897
04,196,200,3,4,4553,4602,182.12,50,41.059999999999995,1.201287302516091,8.554964539007086,40.83,1.195957820738137,7.932352941176467
13,1607,1615,4,3,14663,14712,586.52,50,24.5,0.9474091260634184,8.57703081232493,21.980000000000018,0.8633150039277304,8.151927437641733
07,647,649,7,6,11017,11066,440.68,50,20.19999999999999,0.47484720263281593,8.59409594095941,20.120000000000005,0.4744164112237681,7.465564738292005
14,450,454,6,7,4099,4148,163.96,50,15.180000000000007,0.4733395696913005,8.626168224299068,14.229999999999961,0.4446874999999988,8.473451327433638
10,346,354,7,6,5623,5672,224.92,50,73.19000000000001,1.7451120648545546,8.640423031727382,64.74000000000001,1.5686939665616673,8.531694695989648
07,696,697,8,7,12249,12298,489.96,50,23.480000000000018,0.6536748329621386,8.664206642066425,20.589999999999975,0.5700442967884822,7.433212996389893
07,715,719,2,3,12620,12648,504.8,29,69.19,1.8791417707767517,8.670426065162907,59.519999999999996,1.6288998357963875,8.175824175824179
07,791,799,7,6,13958,13996,558.32,39,31.94999999999999,0.8540497193263831,8.703529411764695,31.94999999999999,0.8540497193263831,7.82826475849731
11,1443,1447,3,4,12579,12628,503.16,50,13.5,0.4877167630057804,8.752808988764064,13.230000000000004,0.48443793482240954,7.299595141700397
14,2342,2347,7,6,23359,23384,934.36,26,18.010000000000048,0.5989358164283355,8.766519823788538,18.010000000000048,0.5989358164283355,8.540856031128422
07,787,793,2,3,13919,13968,556.76,50,16.310000000000002,0.4915611814345992,8.76881720430108,14.840000000000002,0.4414039262343844,6.1322314049586835
09,166,178,3,4,2766,2790,110.64,25,105.82,2.4071883530482254,8.803660565723794,83.88999999999999,1.9632576644043995,8.707034728406052
07,74,77,3,4,1199,1228,47.96,30,32.629999999999995,0.8241980298055063,8.8047619047619,32.629999999999995,0.8241980298055063,8.465483234714004
11,1535,1547,8,7,13302,13351,532.08,50,45.53999999999999,1.3577817531305902,8.842718446601943,40.31999999999999,1.1837933059307102,8.339506172839508
06,41,43,8,7,924,973,36.96,50,38.05000000000001,0.9728969572999236,8.848837209302333,33.09000000000003,0.8322434607645883,6.766871165644178
03,705,708,2,3,19607,19656,784.28,50,26.930000000000007,0.8104633781763821,8.905604719764028,26.900000000000006,0.8104633781763821,6.475465313028762
12,1434,1438,3,4,11977,12026,479.08,50,18.27000000000001,0.7463235294117652,8.910204081632655,17.090000000000003,0.6964140179299105,8.299999999999992
19,144,148,2,3,3561,3610,142.44,50,34.19,1.0310615199034983,9.129464285714286,30.960000000000004,0.9543773119605428,9.129464285714286
08,1041,1059,8,7,17866,17915,714.64,50,95.07999999999998,2.633795013850415,9.195357833655704,84.31,2.321949876067199,8.130183220829315
19,275,282,2,3,6256,6305,250.24,50,92.50999999999999,1.9920327304048233,9.253295668549908,82.75999999999999,1.8358473824312331,9.253295668549908
13,568,576,3,4,4596,4645,183.84,50,53.920000000000016,1.8105858854860193,9.263688760806913,52.33000000000001,1.8105858854860193,9.176388888888889
01,732,735,2,3,15575,15624,623.0,50,35.97,1.008693213684801,9.275641025641026,33.02000000000001,0.9378017608633914,8.52146263910969
13,451,457,2,3,3482,3531,139.28,50,19.189999999999998,0.756405202995664,9.282700421940925,17.44999999999999,0.7010847730012049,7.679586563307484
05,997,1001,2,3,23343,23392,933.72,50,60.46000000000001,1.9700228087324863,9.315870570107856,54.110000000000014,1.788760330578513,8.914332784184516
13,711,716,2,3,6160,6209,246.4,50,30.990000000000002,1.0153997378768023,9.333333333333334,30.190000000000005,1.0039787798408488,7.535714285714287
02,113,118,2,3,2342,2391,93.68,50,48.730000000000004,1.3435346015991176,9.362903225806454,45.8,1.2901408450704224,8.005452562704471
05,215,221,2,3,4847,4886,193.88,40,84.29000000000002,2.6283130651699413,9.42841163310962,71.69999999999999,2.2661188369152967,8.28901734104046
04,618,626,7,6,15254,15269,610.16,16,66.28000000000003,1.7817204301075276,9.491891891891894,53.900000000000034,1.5542099192618233,9.401242236024844
13,2140,2145,2,3,19521,19570,780.84,50,28.009999999999998,0.9982181040627227,9.509859154929577,25.9,0.9329971181556195,9.509859154929577
18,309,311,6,5,7108,7157,284.32,50,95.73000000000002,1.9092540885520546,9.534860557768926,85.30000000000001,1.7073658927141715,8.445544554455445
13,2432,2440,3,2,22008,22057,880.32,50,31.670000000000016,1.2097020626432398,9.542079207920796,28.78000000000003,1.1155038759689933,9.42663656884877
09,520,522,2,3,9894,9943,395.76,50,37.85000000000002,1.0432745314222718,9.553719008264473,35.01999999999998,0.9823281907433375,9.53798767967146
08,351,353,3,2,6092,6141,243.68,50,51.57000000000002,1.4105579868708977,9.603351955307264,46.01000000000002,1.2612390350877198,8.681132075471707
13,695,699,3,4,5801,5850,232.04,50,33.95999999999998,1.1174728529121414,9.615960099750614,33.06,1.1169179229480737,7.561174551386615
20,887,894,6,5,18644,18693,745.76,50,66.17999999999995,1.6754430379746823,9.818991097922838,59.52999999999997,1.5002520161290316,9.586151368760058
06,232,237,7,6,4791,4840,191.64,50,69.72999999999999,1.729843711237906,9.821126760563377,62.56,1.5698870765370139,9.393393393393389
13,1107,1115,4,3,10113,10162,404.52,50,30.22,1.135663284479519,9.837465564738283,28.17,1.0735518292682928,7.121495327102806
05,810,819,2,3,18746,18795,749.84,50,146.10000000000002,3.7967775467775478,9.851652056641944,130.75,3.4200889353910546,8.998623537508605
09,470,481,8,7,9380,9429,375.2,50,85.18,2.21476859074363,9.899425287356317,76.97999999999996,2.0104465917994245,9.762956669498724
10,537,545,3,4,8779,8826,351.16,48,74.05999999999997,1.596464755335201,9.967698519515475,65.71999999999997,1.4393342093736305,9.428981348637013
02,134,137,2,3,2702,2751,108.08,50,45.579999999999984,1.4279448621553879,10.114228456913825,41.369999999999976,1.3217252396166126,10.114228456913825
01,555,559,6,5,11271,11320,450.84,50,175.46,3.637984656852582,10.130484988452658,163.83,3.418109743375757,9.745984533016063
17,258,259,6,5,5354,5403,214.16,50,32.140000000000015,0.8922820655191563,10.16158536585368,29.130000000000024,0.8087173792337596,10.16158536585368
14,1369,1372,8,7,12871,12920,514.84,50,26.539999999999992,0.8409378960709757,10.168582375478927,23.769999999999982,0.7565245066836404,9.992000000000008
09,1202,1206,8,7,22707,22756,908.28,50,99.65000000000003,2.875901875901877,10.210040983606563,89.42000000000002,2.566590126291619,9.041456016177955
11,1144,1145,3,4,9864,9913,394.56,50,7.300000000000004,0.2826171118854047,10.236842105263186,7.300000000000004,0.2826171118854047,7.113636363636352
02,600,605,2,3,13131,13180,525.24,50,90.79999999999998,2.3432258064516125,10.248306997742663,81.88,2.144578313253012,9.701421800947866
13,256,263,8,7,2034,2083,81.36,50,25.139999999999986,0.8487508440243074,10.302816901408448,23.78000000000003,0.8033783783783793,9.048000000000002
08,1608,1618,3,4,27267,27315,1090.68,49,231.73,4.071867861535758,10.335860838537023,217.62,3.829989440337909,9.964285714285714
08,1294,1296,3,4,21572,21621,862.88,50,25.160000000000025,0.6197044334975376,10.360424028268575,23.97,0.5964170191589948,9.644117647058833
10,557,561,7,6,9212,9261,368.48,50,43.11999999999995,1.113348825200102,10.36886993603412,42.52999999999997,1.1133247089262606,9.097807757166946
10,686,691,3,4,11626,11675,465.04,50,112.16000000000001,2.606553567278643,10.392385392385394,103.12,2.433223218499292,9.982306684141546
16,680,685,6,5,16325,16374,653.0,50,96.55000000000001,2.105320540776276,10.404094827586206,86.39999999999998,1.8564675547915768,8.665997993981945
11,502,505,3,4,3991,4040,159.64,50,30.800000000000068,1.1539902585237942,10.410919540229889,29.160000000000025,1.1176696052127262,10.33618233618234
20,476,481,6,5,9810,9859,392.4,50,47.35000000000001,1.551441677588467,10.417439703153988,44.57000000000001,1.479256554928643,10.236135957066189
12,1110,1115,4,3,8911,8960,356.44,50,28.54000000000002,1.3584007615421236,10.446308724832212,26.480000000000018,1.2967678746327138,10.446308724832212
16,511,517,6,5,12713,12762,508.52,50,38.81999999999999,1.0840547333147164,10.446384039900257,35.46999999999997,0.9974690663667033,10.446384039900257
20,463,466,6,5,9595,9636,383.8,42,146.32999999999998,3.684038267875126,10.474588403722262,146.32999999999998,3.684038267875126,10.474588403722262
12,859,866,8,7,6581,6630,263.24,50,33.959999999999994,1.24898859874954,10.477806788511755,31.77000000000001,1.1916729182295578,9.934977578475333
08,990,998,3,4,17018,17067,680.72,50,82.0,1.9248826291079812,10.526315789473685,74.06,1.7528994082840237,9.914323962516736
13,2422,2425,2,3,21771,21820,870.84,50,20.129999999999995,0.8624678663239073,10.536036036036036,19.22999999999996,0.8260309278350498,9.976653696498047
